Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
01-54-00-90-1040,"Equipment, air compressor, 60 CFM, rent, by month",               By month,"Air compressor, 60 cfm, rent, by month",EA,,,,,,,"$1,205.60"
01-54-00-90-1100,         300 cfm,         300 cfm,,,,,,,,,
01-54-00-90-1120,"Equipment, air compressor, 300 CFM, rent, by day",               By day,"Air compressor, 300 cfm, rent, by day",EA,,,,,,,$281.60
01-54-00-90-1130,"Equipment, air compressor, 300 CFM, rent, by week",               By week,"Air compressor, 300 cfm, rent, by week",EA,,,,,,,$871.20
01-54-00-90-1140,"Equipment, air compressor, 300 CFM, rent, by month",               By month,"Air compressor, 300 cfm, rent, by month",EA,,,,,,,"$2,640.00"
01-54-00-90-1200,         600 cfm,         600 cfm,,,,,,,,,
01-54-00-90-1210,"Equipment, air compressor, 600 CFM, rent, by day",               By day,"Air compressor, 60 cfm, by day",EA,,,,,,,$774.40
01-54-00-90-1220,"Equipment, air compressor, 600 CFM, rent, by week",               By week,"Air compressor, 60 cfm, by week",EA,,,,,,,"$2,296.80"
01-54-00-90-1230,"Equipment, air compressor, 600 CFM, rent, by month",               By month,"Air compressor, 60 cfm, by month",EA,,,,,,,"$6,960.80"
01-54-00-90-1240,         1300 cfm,         1300 cfm,,,,,,,,,
01-54-00-90-1241,"Equipment, air compressor, 1300 CFM, rent, by day",               By day,"Air compressor, 1300 cfm, by day",EA,,,,,,,"$1,258.40"
01-54-00-90-1242,"Equipment, air compressor, 1300 CFM, rent, by week",               By week,"Air compressor, 1300 cfm, by week",EA,,,,,,,"$4,408.80"
01-54-00-90-1243,"Equipment, air compressor, 1300 CFM, rent, by month",               By month,"Air compressor, 1300 cfm, by month",EA,,,,,,,"$12,584.00"
01-54-00-90-1300,"      Air tools, per compressor, per day","      Air tools, per compressor, per day",,,,,,,,,
01-54-00-90-1310,"Equipment, air tools, per compressor, rent, per day, minimum",               Minimum,"Air tools, per compressor, per day, minimum",EA,,,,,,,$54.56
01-54-00-90-1320,"Equipment, air tools, per compressor, rent, per day, average",               Average,"Air tools, per compressor, per day, average",EA,,,,,,,$68.64
01-54-00-90-1330,"Equipment, air tools, per compressor, rent, per day, maximum",               Maximum,"Air tools, per compressor, per day, maximum",EA,,,,,,,$96.80
01-54-00-90-1400,"      Generators, 5 kw","      Generators, 5 kw",,,,,,,,,
01-54-00-90-1410,"Equipment, generators, 5 kw, rent, by day",               By day,"Generators, 5 kw, rent, by day",EA,,,,,,,$123.20
01-54-00-90-1420,"Equipment, generators, 5 kw, rent, by week",               By week,"Generators, 5 kw, rent, by week",EA,,,,,,,$369.60
01-54-00-90-1430,"Equipment, generators, 5 kw, rent, by month",               By month,"Generators, 5 kw, rent, by month",EA,,,,,,,"$1,152.80"
01-54-00-90-1500,"      Heaters, salamander type, per week","      Heaters, salamander type, per week",,,,,,,,,
01-54-00-90-1510,"Equipment, heaters, salamander type, rent, per week, minimum",               Minimum,"Heaters, salamander type, per week, minimum",EA,,,,,,,$149.60
01-54-00-90-1520,"Equipment, heaters, salamander type, rent, per week, average",               Average,"Heaters, salamander type, per week, average",EA,,,,,,,$211.20
01-54-00-90-1530,"Equipment, heaters, salamander type, rent, per week, maximum",               Maximum,"Heaters, salamander type, per week, maximum",EA,,,,,,,$448.80
01-54-00-90-1600,"      Pumps, submersible","      Pumps, submersible",,,,,,,,,
01-54-00-90-1605,            50 gpm,            50 gpm,,,,,,,,,
01-54-00-90-1610,"Equipment, pumps, submerseable, 50 GPM, by day",               By day,"Pumps, 50 gpm, submerseable, by day",EA,,,,,,,$96.80
01-54-00-90-1620,"Equipment, pumps, submerseable, 50 GPM, by week",               By week,"Pumps, 50 gpm, submerseable, by week",EA,,,,,,,$299.20
01-54-00-90-1630,"Equipment, pumps, submerseable, 50 GPM, by month",               By month,"Pumps, 50 gpm, submerseable, by month",EA,,,,,,,$897.60
01-54-00-90-1640,            100 gpm,            100 gpm,,,,,,,,,
01-54-00-90-1650,"Equipment, pumps, submerseable, 100 GPM, by day",               By day,"Pumps, 100 gpm, submerseable, by day",EA,,,,,,,$114.40
01-54-00-90-1660,"Equipment, pumps, submerseable, 100 GPM, by week",               By week,"Pumps, 100 gpm, submerseable, by week",EA,,,,,,,$334.40
01-54-00-90-1670,"Equipment, pumps, submerseable, 100 GPM, by month",               By month,"Pumps, 100 gpm, submerseable, by month",EA,,,,,,,"$1,012.00"
01-54-00-90-1675,            500 gpm,            500 gpm,,,,,,,,,
01-54-00-90-1680,"Equipment, pumps, submerseable, 500 GPM, by day",               By day,"Pumps, submerseable, 500 gpm, by day",EA,,,,,,,$176.00
01-54-00-90-1690,"Equipment, pumps, submerseable, 500 GPM, by week",               By week,"Pumps, submerseable, 500 gpm, by week",EA,,,,,,,$536.80
01-54-00-90-1700,"Equipment, pumps, submerseable, 500 GPM, by month",               By month,"Pumps, submerseable, 500 gpm, by month",EA,,,,,,,"$1,619.20"
01-54-00-90-1900,"         Diaphragm pump, by week","         Diaphragm pump, by week",,,,,,,,,
01-54-00-90-1920,"Equipment, pumps, diaphragm pump, by week, minimum",               Minimum,"Pumps, diaphragm pump, by week, minimum",EA,,,,,,,$158.40
01-54-00-90-1930,"Equipment, pumps, diaphragm pump, by week, average",               Average,"Pumps, diaphragm pump, by week, average",EA,,,,,,,$272.80
01-54-00-90-1940,"Equipment, pumps, diaphragm pump, by week, maximum",               Maximum,"Pumps, diaphragm pump, by week, maximum",EA,,,,,,,$563.20
01-54-00-90-2000,      Pickup truck,      Pickup truck,,,,,,,,,
01-54-00-90-2020,"Equipment, pickup truck, rent, by day",               By day,"Pickup truck, rent, by day",EA,,,,,,,$167.20
01-54-00-90-2030,"Equipment, pickup truck, rent, by week",               By week,"Pickup truck, rent, by week",EA,,,,,,,$492.80
01-54-00-90-2040,"Equipment, pickup truck, rent, by month",               By month,"Pickup truck, rent, by month",EA,,,,,,,"$1,531.20"
01-54-00-90-2080,      Dump truck,      Dump truck,,,,,,,,,
01-54-00-90-2100,         6 c.y. truck,         6 c.y. truck,,,,,,,,,
01-54-00-90-2120,"Equipment, dump truck, 6 CY, rent, by day",               By day,"Dump truck, 6 CY, rent, by day",EA,,,,,,,$448.80
01-54-00-90-2130,"Equipment, dump truck, 6 CY, rent, by week",               By week,"Dump truck, 6 CY, rent, by week",EA,,,,,,,"$1,355.20"
01-54-00-90-2140,"Equipment, dump truck, 6 CY, rent, by month",               By month,"Dump truck, 6 CY, rent, by month",EA,,,,,,,"$4,056.80"
01-54-00-90-2160,         10 c.y. truck,         10 c.y. truck,,,,,,,,,
01-54-00-90-2170,"Equipment, dump truck, 10 CY, rent, by day",               By day,"Dump truck, 10 CY, rent, by day",EA,,,,,,,$563.20
01-54-00-90-2180,"Equipment, dump truck, 10 CY, rent, by week",               By week,"Dump truck, 10 CY, rent, by week",EA,,,,,,,"$1,689.60"
01-54-00-90-2190,"Equipment, dump truck, 10 CY, rent, by month",               By month,"Dump truck, 10 CY, rent, by month",EA,,,,,,,"$5,068.80"
01-54-00-90-2300,         16 c.y. truck,         16 c.y. truck,,,,,,,,,
01-54-00-90-2310,"Equipment, dump truck, 16 CY, rent, by day",               By day,"Dump truck, 16 CY, rent, by day",EA,,,,,,,$897.60
01-54-00-90-2320,"Equipment, dump truck, 16 CY, rent, by week",               By week,"Dump truck, 16 CY, rent, by week",EA,,,,,,,"$2,701.60"
01-54-00-90-2340,"Equipment, dump truck, 16 CY, rent, by month",               By month,"Dump truck, 16 CY, rent, by month",EA,,,,,,,"$8,113.60"
01-54-00-90-2400,"      Backhoe, track mounted","      Backhoe, track mounted",,,,,,,,,
01-54-00-90-2420,         1/2 c.y. capacity,         1/2 c.y. capacity,,,,,,,,,
01-54-00-90-2430,"Equipment, backhoe, track mounted, 1/2 CY capacity, rent, by day",               By day,"Backhoe, track mounted, 1/2 cy capacity, by day",EA,,,,,,,$695.20
01-54-00-90-2440,"Equipment, backhoe, track mounted, 1/2 CY capacity, rent, by week",               By week,"Backhoe, track mounted, 1/2 cy capacity, by week",EA,,,,,,,"$1,680.80"
01-54-00-90-2450,"Equipment, backhoe, track mounted, 1/2 CY capacity, rent, by month",               By month,"Backhoe, track mounted, 1/2 cy capacity, by month",EA,,,,,,,"$3,819.20"
01-54-00-90-2500,         1 c.y. capacity,         1 c.y. capacity,,,,,,,,,
01-54-00-90-2510,"Equipment, backhoe, track mounted, 1 CY capacity, rent, by day",               By day,"Backhoe, track mounted, 1 CY, rent, by day",EA,,,,,,,"$1,628.00"
01-54-00-90-2520,"Equipment, backhoe, track mounted, 1 CY capacity, rent, by week",               By week,"Backhoe, track mounted, 1 CY, rent, by week",EA,,,,,,,"$4,884.00"
01-54-00-90-2530,"Equipment, backhoe, track mounted, 1 CY capacity, rent, by month",               By month,"Backhoe, track mounted, 1 CY, rent, by month",EA,,,,,,,"$14,652.00"
01-54-00-90-2550,         2 c.y. capacity,         2 c.y. capacity,,,,,,,,,
01-54-00-90-2560,"Equipment, backhoe, track mounted, 2 CY capacity, rent, by day",               By day,"Backhoe, track mounted, 2 CY, rent, by day",EA,,,,,,,"$2,754.40"
01-54-00-90-2570,"Equipment, backhoe, track mounted, 2 CY capacity, rent, by week",               By week,"Backhoe, track mounted, 2 CY, rent, by week",EA,,,,,,,"$8,263.20"
01-54-00-90-2580,"Equipment, backhoe, track mounted, 2 CY capacity, rent, by month",               By month,"Backhoe, track mounted, 2 CY, rent, by month",EA,,,,,,,"$24,798.40"
01-54-00-90-2600,         3 c.y. capacity,         3 c.y. capacity,,,,,,,,,
01-54-00-90-2620,"Equipment, backhoe, track mounted, 3 CY capacity, rent, by day",               By day,"Backhoe, track mounted, 3 CY, rent, by day",EA,,,,,,,"$5,262.40"
01-54-00-90-2640,"Equipment, backhoe, track mounted, 3 CY capacity, rent, by week",               By week,"Backhoe, track mounted, 3 CY, rent, by week",EA,,,,,,,"$15,743.20"
01-54-00-90-2680,"Equipment, backhoe, track mounted, 3 CY capacity, rent, by month",               By month,"Backhoe, track mounted, 3 CY, rent, by month",EA,,,,,,,"$47,344.00"
01-54-00-90-3000,"      Backhoe/loader, rubber tired","      Backhoe/loader, rubber tired",,,,,,,,,
01-54-00-90-3005,         1/2 c.y. capacity,         1/2 c.y. capacity,,,,,,,,,
01-54-00-90-3010,"Equipment, backhoe or loader, rubber tired, 1/2 CY capacity, by day",               By day,"Backhoe/loader, rubber tired, 1/2 cy cap, by day",EA,,,,,,,$624.80
01-54-00-90-3020,"Equipment, backhoe or loader, rubber tired, 1/2 CY capacity, by week",               By week,"Backhoe/loader, rubber tired, 1/2 cy cap, by week",EA,,,,,,,"$1,874.40"
01-54-00-90-3030,"Equipment, backhoe or loader, rubber tired, 1/2 CY capacity, by month",               By month,"Backhoe/loader, rubber tired, 1/2 cy cap, by month",EA,,,,,,,"$5,632.00"
01-54-00-90-3035,         3/4 c.y. capacity,         3/4 c.y. capacity,,,,,,,,,
01-54-00-90-3040,"Equipment, backhoe or loader, rubber tired, 3/4 CY capacity, by day",               By day,"Backhoe/loader, rubber tired, 3/4 cy cap, by day",EA,,,,,,,$748.00
01-54-00-90-3050,"Equipment, backhoe or loader, rubber tired, 3/4 CY capacity, by week",               By week,"Backhoe/loader, rubber tired, 3/4 cy cap, by week",EA,,,,,,,"$2,252.80"
01-54-00-90-3060,"Equipment, backhoe or loader, rubber tired, 3/4 CY capacity, by month",               By month,"Backhoe/loader, rubber tired, 3/4 cy cap, by month",EA,,,,,,,"$6,758.40"
01-54-00-90-3200,      Bulldozer,      Bulldozer,,,,,,,,,
01-54-00-90-3205,         75 hp,         75 hp,,,,,,,,,
01-54-00-90-3210,"Equipment, bulldozer, 75 HP, rent, by day",               By day,"Bulldozer, 75 hp, rent, by day",EA,,,,,,,$871.20
01-54-00-90-3220,"Equipment, bulldozer, 75 HP, rent, by week",               By week,"Bulldozer, 75 hp, rent, by week",EA,,,,,,,"$2,631.20"
01-54-00-90-3230,"Equipment, bulldozer, 75 HP, rent, by month",               By month,"Bulldozer, 75 hp, rent, by month",EA,,,,,,,"$7,893.60"
01-54-00-90-3280,         200 hp,         200 hp,,,,,,,,,
01-54-00-90-3300,"Equipment, bulldozer, 200 HP, rent, by day",               By day,"Bulldozer, 200 hp, rent, by day",EA,,,,,,,"$2,508.00"
01-54-00-90-3310,"Equipment, bulldozer, 200 HP, rent, by week",               By week,"Bulldozer, 200 hp, rent, by week",EA,,,,,,,"$7,515.20"
01-54-00-90-3320,"Equipment, bulldozer, 200 HP, rent, by month",               By month,"Bulldozer, 200 hp, rent, by month",EA,,,,,,,"$22,545.60"
01-54-00-90-3330,         400 hp,         400 hp,,,,,,,,,
01-54-00-90-3340,"Equipment, bulldozer, 400 HP, rent, by day",               By day,"Bulldozer, 400 hp, rent, by day",EA,,,,,,,"$3,713.60"
01-54-00-90-3350,"Equipment, bulldozer, 400 HP, rent, by week",               By week,"Bulldozer, 400 hp, rent, by week",EA,,,,,,,"$11,132.00"
01-54-00-90-3360,"Equipment, bulldozer, 400 HP, rent, by month",               By month,"Bulldozer, 400 hp, rent, by month",EA,,,,,,,"$33,484.00"
01-54-00-90-4000,"      Cranes, crawler type","      Cranes, crawler type",,,,,,,,,
01-54-00-90-4005,            15 ton capacity,            15 ton capacity,,,,,,,,,
01-54-00-90-4010,"Equipment, cranes, crawler type, 15 ton capacity, by day",               By day,"Crane, crawler type, 15 ton, by day",EA,,,,,,,"$1,126.40"
01-54-00-90-4020,"Equipment, cranes, crawler type, 15 ton capacity, by week",               By week,"Crane, crawler type, 15 ton, by week",EA,,,,,,,"$3,379.20"
01-54-00-90-4030,"Equipment, cranes, crawler type, 15 ton capacity, by month",               By month,"Crane, crawler type, 15 ton, by month",EA,,,,,,,"$10,146.40"
01-54-00-90-4035,            25 ton capacity,            25 ton capacity,,,,,,,,,
01-54-00-90-4040,"Equipment, cranes, crawler type, 25 ton capacity, by day",               By day,"Crane, crawler type, 25 ton capacity, by day",EA,,,,,,,"$1,372.80"
01-54-00-90-4050,"Equipment, cranes, crawler type, 25 ton capacity, by week",               By week,"Crane, crawler type, 25 ton capacity, by week",EA,,,,,,,"$4,127.20"
01-54-00-90-4060,"Equipment, cranes, crawler type, 25 ton capacity, by month",               By month,"Crane, crawler type, 25 ton capacity, by month",EA,,,,,,,"$12,399.20"
01-54-00-90-4070,            50 ton capacity,            50 ton capacity,,,,,,,,,
01-54-00-90-4080,"Equipment, cranes, crawler type, 50 ton capacity, by day",               By day,"Crane, crawler type, 50 ton, by day",EA,,,,,,,"$2,508.00"
01-54-00-90-4090,"Equipment, cranes, crawler type, 50 ton capacity, by week",               By week,"Crane, crawler type, 50 ton, by week",EA,,,,,,,"$7,515.20"
01-54-00-90-4100,"Equipment, cranes, crawler type, 50 ton capacity, by month",               By month,"Crane, crawler type, 50 ton, by month",EA,,,,,,,"$22,545.60"
01-54-00-90-4110,            100 ton capacity,            100 ton capacity,,,,,,,,,
01-54-00-90-4120,"Equipment, cranes, crawler type, 100 ton capacity, by day",               By day,"Crane, crawler type, 100 ton capacity, by day",EA,,,,,,,"$3,757.60"
01-54-00-90-4130,"Equipment, cranes, crawler type, 100 ton capacity, by week",               By week,"Crane, crawler type, 100 ton capacity, by week",EA,,,,,,,"$11,272.80"
01-54-00-90-4140,"Equipment, cranes, crawler type, 100 ton capacity, by month",               By month,"Crane, crawler type, 100 ton capacity, by month",EA,,,,,,,"$33,924.00"
